Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text,Raktárkészlet
Late-For-The-Sky-P-10355Y,Jackson Browne / Late For The Sky P-10355Y,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1977<br /><br />0129 
 Yes there is OBI and Insert!",,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Asylum Records,0
Service-YLR-28013,Yellow Magic Orchestra / Service YLR-28013,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 Yes there is an OBI! No Insert!",,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Alfa,0
Break-Out-PLR-28001,"Pointer Sisters, Pointer Sisters / Break Out = ブレイク ・ アウト PLR-28001",1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 There is Obi and an Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Planet (15),0
Good-Vibes-BHM-1018-2,Mauri Sanchis / Good Vibes!!! BHM 1018-2,1,1587.24,1587.24,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2006<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),BHM Productions,0
The-Space-Between-none,Galen Weston / The Space Between none,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2017<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),blujazz,0
Try-Livin-It-ESC,Hiram Bullock / Try Livin' It ESC/EFA 03686-2,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2003<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),ESC Records,0
Low-Blow-03661-2,Victor Bailey / Low Blow 03661-2,1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 1999<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),ESC Records,0
LArca-Di-No-1C-064-18-597,Franco Battiato / L'Arca Di Noè 1C 064-18 597,1,4761.72,4761.72,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1982<br /><br />0129 
 Insert van! ",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Musikant,0
Nikaragua-8-45-176,Carlos Mejía Godoy y Los De Palacagüina / Nikaragua 8 45 176,1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),AMIGA,0
Back-Up-Off-Me-88561-1236-1,"Doctor Dré, Ed Lover / Back Up Off Me ! 88561-1236-1",1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1994<br /><br />0129 
 Új fóliát termék! ",,,db,0.2,Mint (M),Mint (M),Relativity,0
Return-To-Forever-MP-2273,Chick Corea / Return To Forever MP 2273,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1972<br /><br />0129 
 A borítón enyhe barnás foltok!No OBI! Yes Insert! ",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),"Polydor, Polydor",0
Success-Hasnt-Spoiled-Me-Yet-RPL-8127,Rick Springfield / Success Hasn't Spoiled Me Yet RPL-8127,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129 
 Yes OBI!No Insert! ",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),RCA,0
Walking-The-Line-ULS-1708-P,The Oscar Peterson Trio / Walking The Line ULS-1708-P,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1975<br /><br />0129 
 Yes OBI!Yes Insert! ",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records,0
Tommy-Tutone-2-25AP-2342,Tommy Tutone / Tommy Tutone-2 25AP 2342,1,6348.96,6348.96,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),CBS/Sony,0
Music-Is-My-Thing,Samantha Gilles / Music Is My Thing / Under Control C12Y0184,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1986<br /><br />0129 
 Yes OBI! No Insert!",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Canyon International,0
om-The-Original-Motion-Picture-Soundtrack-P-11508,Various / Streets Of Fire - Music From The Original Motion Picture Soundtrack P-11508,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MCA Records,0
Live-Cream-Volume-II-MWX-4005,Cream (2) / Live Cream Volume II MWX 4005,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),RSO,0
The-Early-Tapes-July,Level 42 / The Early Tapes (July/August 1980) 28MM 0244,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 No OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Polydor,0
That-Was-Then-This-Is-Now-SLPX-17936,"Safari (11) / That Was Then, This Is Now SLPX 17936",1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Krém,0
Popped-In-Souled-Out-SLPXL-37273,Wet Wet Wet / Popped In Souled Out SLPXL 37273,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Gong,0
Confessions-Remixed-0-42916,Madonna / Confessions Remixed 0-42916,1,51585.3,51585.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2006<br /><br />0129 
 Új fóliás termék!!A bóritó sarkain nagyon  enyhe nyomodás! A gyári fólia fólia néhol elengedett!",,,db,0.2,Mint (M),Mint (M),"Warner Bros. Records, Warner Bros. Records",0
One-Two-Three-VIL-6065,One-Two-Three / One-Two-Three VIL-6065,1,21824.55,21824.55,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Prelude Records,0
Get-Ready-ALI-13011,Carol Hitchcock / Get Ready ALI-13011,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1987<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),PWL Empire,0
Midnight-Madness-25AP-2702,Night Ranger / Midnight Madness 25AP 2702,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 No OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),CBS/Sony,0
Selections-WWS-63051,Huey Lewis & The News / Selections WWS-63051,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1985<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Chrysalis,0
American-Gangster-Acappella-B0010522-01,Jay-Z / American Gangster Acappella B0010522-01,1,31744.8,31744.8,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2007<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Roc-A-Fella Records,0
Friend-Or-Foe-CBS-25040,Adam Ant / Friend Or Foe CBS 25040,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1982<br /><br />0129 
 Az  eredeti belső tok is nagyon jó állapotban van!",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),CBS,0
Tonight-ZYX-23018-1,Savage / Tonight ZYX 23018-1,1,9523.44,9523.44,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic",,,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),ZYX Music,0
